 ,Mean,Slice
1,162.996,1
2,163.415,2
3,174.968,3
4,179.782,4
5,181.694,5
6,189.609,6
7,188.964,7
8,192.327,8
9,191.516,9
10,194.278,10
11,186.786,11
12,183.387,12
13,177.649,13
14,179.310,14
15,161.593,15
16,154.573,16
17,148.298,17
18,142.395,18
19,124.367,19
20,127.956,20
21,112.363,21
22,100.855,22
23,85.008,23
24,48.407,24
25,39.581,25
26,20.210,26
