 ,Mean,Slice
1,240.100,1
2,240.114,2
3,229.614,3
4,195.314,4
5,213.657,5
6,197.700,6
7,191.371,7
8,179.429,8
9,155.486,9
10,163.971,10
11,128.329,11
12,135.971,12
13,93.914,13
14,128.057,14
15,115.171,15
16,116.029,16
17,99.643,17
18,94.429,18
19,104.943,19
20,84.157,20
21,90.786,21
22,87.957,22
23,82.686,23
24,80.700,24
25,72.871,25
26,72.586,26
27,68.229,27
28,69.157,28
29,57.329,29
30,14.814,30
