 ,Mean,Slice
1,183.929,1
2,189.786,2
3,195.786,3
4,198.857,4
5,191.286,5
6,199.714,6
7,197.143,7
8,216.071,8
9,205.500,9
10,232.643,10
11,214.643,11
12,228.071,12
13,209.500,13
14,243.929,14
15,242.071,15
16,240.571,16
17,233.643,17
18,224.000,18
19,229.286,19
20,203.786,20
21,209.429,21
22,193.429,22
23,177.571,23
24,162.000,24
25,141.286,25
26,128.286,26
27,115.357,27
28,110.286,28
29,90.214,29
30,18.571,30
